scientific_name,park_name,observations,category,common_names,conservation_status,missing_conservation_status,status_nb,common_names_length,last_common_name
Carex spectabilis,Great Smoky Mountains National Park,86,Vascular Plant,Showy Sedge,Not Threatened,True,0,11,Sedge
Linanthus montanus,Bryce National Park,101,Vascular Plant,Mustang Clover,Not Threatened,True,0,14,Clover
Cornus sericea ssp. occidentalis,Yosemite National Park,138,Vascular Plant,Western Dogwood,Not Threatened,True,0,15,Dogwood
Sanicula marilandica,Bryce National Park,110,Vascular Plant,"Black Snakeroot, Black Snake-Root",Not Threatened,True,0,33,Snake-Root
Picea rubens,Great Smoky Mountains National Park,87,Vascular Plant,Red Spruce,Not Threatened,True,0,10,Spruce
Mimulus viscidus,Great Smoky Mountains National Park,97,Vascular Plant,Sticky Monkeyflower,Not Threatened,True,0,19,Monkeyflower
Rubus parviflorus,Yosemite National Park,162,Vascular Plant,"Thimbleberry, Western Thimbleberry",Not Threatened,True,0,34,Thimbleberry
Lonicera utahensis,Yosemite National Park,160,Vascular Plant,Utah Honeysuckle,Not Threatened,True,0,16,Honeysuckle
Convallaria majalis,Yosemite National Park,141,Vascular Plant,"European Lily-Of-The-Valley, Lily-Of-The-Valley",Not Threatened,True,0,47,Lily-Of-The-Valley
Clematis dioica,Yosemite National Park,140,Vascular Plant,Cabellos De Angel,Not Threatened,True,0,17,Angel
Smallanthus uvedalius,Yellowstone National Park,231,Vascular Plant,Hairy Leafcup,Not Threatened,True,0,13,Leafcup
Symphyotrichum ascendens,Bryce National Park,101,Vascular Plant,Western Aster,Not Threatened,True,0,13,Aster
Epilobium ciliatum ssp. ciliatum,Yosemite National Park,161,Vascular Plant,Willow-Herb,Not Threatened,True,0,11,Willow-Herb
Cyperus echinatus,Great Smoky Mountains National Park,97,Vascular Plant,Globe Flatsedge,Not Threatened,True,0,15,Flatsedge
Muhlenbergia frondosa,Great Smoky Mountains National Park,69,Vascular Plant,"Muhly, Wirestem Muhly",Not Threatened,True,0,21,Muhly
Nuttallanthus canadensis,Yellowstone National Park,277,Vascular Plant,Old-Field Toadflax,Not Threatened,True,0,18,Toadflax
Rhus aromatica var. trilobata,Bryce National Park,143,Vascular Plant,"Ill-Scented Sumac, Skunkbush Sumac",Not Threatened,True,0,34,Sumac
Moxostoma erythrurum,Bryce National Park,84,Fish,Golden Redhorse,Not Threatened,True,0,15,Redhorse
Podiceps auritus,Great Smoky Mountains National Park,59,Bird,Horned Grebe,Not Threatened,True,0,12,Grebe
Polygonum hydropiper,Bryce National Park,95,Vascular Plant,"Annual Smartweed, Marshpepper Knotweed, Mild Water-Pepper",Not Threatened,True,0,57,Water-Pepper
Bazzania tricrenata,Yosemite National Park,144,Nonvascular Plant,Bazzania,Not Threatened,True,0,8,Bazzania
Progne subis,Yellowstone National Park,243,Bird,Purple Martin,Species of Concern,False,2,13,Martin
Ratibida columnifera,Yosemite National Park,136,Vascular Plant,"Prairie Coneflower, Redspike Mexican Hat, Upright Prairie Coneflower",Not Threatened,True,0,68,Coneflower
Spiraea splendens,Yellowstone National Park,256,Vascular Plant,Rose Meadowsweet,Not Threatened,True,0,16,Meadowsweet
Chrysanthemum leucanthemum,Bryce National Park,89,Vascular Plant,"Oxeye Daisy, Ox-Eye Daisy",Not Threatened,True,0,25,Daisy
Anomodon minor,Great Smoky Mountains National Park,65,Nonvascular Plant,Anomodon Moss,Not Threatened,True,0,13,Moss
Uvularia grandiflora,Yosemite National Park,131,Vascular Plant,Large-Flowered Bellwort,Not Threatened,True,0,23,Bellwort
Scrophularia marilandica,Great Smoky Mountains National Park,54,Vascular Plant,"Carpenter's Square Figwort, Figwort",Not Threatened,True,0,35,Figwort
Pterigynandrum filiforme,Yellowstone National Park,248,Nonvascular Plant,Pterigynandrum Moss,Not Threatened,True,0,19,Moss
Ceanothus fresnensis,Yosemite National Park,140,Vascular Plant,Fresno Mat,Not Threatened,True,0,10,Mat
Parnassia grandifolia,Yosemite National Park,133,Vascular Plant,"Largeleaf Grass Of Parnassus, Large-Leaved Grass-Of-Parnassus",Species of Concern,False,2,61,Grass-Of-Parnassus
Tringa semipalmata,Great Smoky Mountains National Park,74,Bird,Willet,Not Threatened,True,0,6,Willet
Certhia familiaris,Yellowstone National Park,228,Bird,Eurasian Treecreeper,Not Threatened,True,0,20,Treecreeper
Silene rotundifolia,Yellowstone National Park,244,Vascular Plant,"Roundleaf Catchfly, Round-Leaved Campion",Not Threatened,True,0,40,Campion
Geum triflorum,Yosemite National Park,170,Vascular Plant,"Old Man's Whiskers, Prairie Smoke, Prairiesmoke",Not Threatened,True,0,47,Prairiesmoke
Ivesia lycopodioides ssp. lycopodioides,Yellowstone National Park,209,Vascular Plant,"Clubmoss Ivesia, Clubmoss Mousetail",Not Threatened,True,0,35,Mousetail
Trematodon longicollis,Yellowstone National Park,240,Nonvascular Plant,Trematodon Moss,Not Threatened,True,0,15,Moss
Carex atlantica ssp. atlantica,Bryce National Park,84,Vascular Plant,Sedge,Not Threatened,True,0,5,Sedge
Asclepias incarnata ssp. pulchra,Yellowstone National Park,233,Vascular Plant,Swamp Milkweed,Not Threatened,True,0,14,Milkweed
Luzula spicata,Great Smoky Mountains National Park,93,Vascular Plant,"Spiked Woodrush, Spiked Wood-Rush",Not Threatened,True,0,33,Wood-Rush
Crotalus oreganus oreganus,Yellowstone National Park,249,Reptile,Northern Pacific Rattlesnake,Not Threatened,True,0,28,Rattlesnake
Geranium bicknellii,Yosemite National Park,141,Vascular Plant,"Bicknell's Cranesbill, Northern Crane's-Bill",Not Threatened,True,0,44,Crane's-Bill
Angelica lineariloba,Bryce National Park,117,Vascular Plant,"Poison Angelica, Sierra Angelica",Not Threatened,True,0,32,Angelica
Polygonum caespitosum var. longisetum,Great Smoky Mountains National Park,62,Vascular Plant,"Oriental Lady's Thumb, Oriental Ladysthumb",Not Threatened,True,0,42,Ladysthumb
Robinia hispida var. hispida,Yellowstone National Park,270,Vascular Plant,Bristly Locust,Not Threatened,True,0,14,Locust
Agrostis rossiae,Bryce National Park,107,Vascular Plant,"Mountain Bentgrass, Ross' Bentgrass",Not Threatened,True,0,35,Bentgrass
Cryptantha humilis,Great Smoky Mountains National Park,69,Vascular Plant,"Round-Spike Catseye, Roundspike Cryptantha",Not Threatened,True,0,42,Cryptantha
Digitaria ischaemum,Bryce National Park,102,Vascular Plant,Smooth Crabgrass,Not Threatened,True,0,16,Crabgrass
Deschampsia flexuosa,Bryce National Park,115,Vascular Plant,Wavy Hairgrass,Not Threatened,True,0,14,Hairgrass
Rauiella scita,Yosemite National Park,154,Nonvascular Plant,Rauiella Moss,Not Threatened,True,0,13,Moss
Contia tenuis,Yosemite National Park,152,Reptile,Sharp-Tailed Snake,Not Threatened,True,0,18,Snake
Hulsea nana,Yosemite National Park,170,Vascular Plant,Dwarf Alpinegold,Not Threatened,True,0,16,Alpinegold
Pseudotsuga menziesii var. glauca,Great Smoky Mountains National Park,78,Vascular Plant,"Blue Douglas-Fir, Colorado Douglas-Fir, Douglas-Fir, Inland Douglas-Fir, Rocky Mountain Douglas-Fir",Not Threatened,True,0,99,Douglas-Fir
Antennaria dimorpha,Bryce National Park,95,Vascular Plant,"Low Everlasting, Low Pussytoes",Not Threatened,True,0,30,Pussytoes
Streptanthus diversifolius,Great Smoky Mountains National Park,58,Vascular Plant,"Variableleaf Jewelflower, Variedleaf Twistflower",Not Threatened,True,0,48,Twistflower
Aureolaria virginica,Great Smoky Mountains National Park,52,Vascular Plant,Downy False-Foxglove,Not Threatened,True,0,20,False-Foxglove
Caprimulgus vociferus,Yosemite National Park,169,Bird,Whip-Poor-Will,Not Threatened,True,0,14,Whip-Poor-Will
Nicotiana acuminata var. multiflora,Yellowstone National Park,237,Vascular Plant,Manyflower Tobacco,Not Threatened,True,0,18,Tobacco
Toxicodendron diversilobum,Yosemite National Park,173,Vascular Plant,Pacific Poison Oak,Not Threatened,True,0,18,Oak
Pohlia nutans,Great Smoky Mountains National Park,76,Nonvascular Plant,Pohlia Moss,Not Threatened,True,0,11,Moss
Malva pusilla,Yellowstone National Park,297,Vascular Plant,Low Mallow,Not Threatened,True,0,10,Mallow
Cacalia atriplicifolia,Yellowstone National Park,267,Vascular Plant,Pale Indian-Plantain,Not Threatened,True,0,20,Indian-Plantain
Tridens flavus,Yosemite National Park,174,Vascular Plant,"Purpletop Tridens, Tall Purple-Top Fluffgrass",Not Threatened,True,0,45,Fluffgrass
Thalictrum alpinum,Yosemite National Park,144,Vascular Plant,"Alpine Meadowrue, Alpine Meadow-Rue",Not Threatened,True,0,35,Meadow-Rue
Eriogonum nudum var. nudum,Bryce National Park,122,Vascular Plant,Naked Buckwheat,Not Threatened,True,0,15,Buckwheat
Juncus nodosus,Yosemite National Park,152,Vascular Plant,"Jointed Rush, Knotted Rush",Not Threatened,True,0,26,Rush
Epilobium angustifolium ssp. circumvagum,Yellowstone National Park,269,Vascular Plant,Fireweed,Not Threatened,True,0,8,Fireweed
Stelgidopteryx serripennis,Great Smoky Mountains National Park,117,Bird,Northern Rough-Winged Swallow,Not Threatened,True,0,29,Swallow
Elaphe obsoleta obsoleta,Yosemite National Park,142,Reptile,Black Rat Snake,Not Threatened,True,0,15,Snake
Asparagus officinalis,Bryce National Park,108,Vascular Plant,"Garden Asparagus-Fern, Wild Asparagus",Not Threatened,True,0,37,Asparagus
Mentha X piperita,Bryce National Park,122,Vascular Plant,Peppermint,Not Threatened,True,0,10,Peppermint
Hieracium cynoglossoides,Yellowstone National Park,258,Vascular Plant,Houndstongue Hawkweed,Not Threatened,True,0,21,Hawkweed
Bromus diandrus,Great Smoky Mountains National Park,52,Vascular Plant,Ripgut Brome,Not Threatened,True,0,12,Brome
Juncus chlorocephalus,Bryce National Park,76,Vascular Plant,Greenhead Rush,Not Threatened,True,0,14,Rush
Heuchera villosa,Yosemite National Park,164,Vascular Plant,Hairy Alumroot,Not Threatened,True,0,14,Alumroot
Anthoxanthum odoratum,Yosemite National Park,141,Vascular Plant,Sweet Vernal Grass,Not Threatened,True,0,18,Grass
Eumeces laticeps,Bryce National Park,85,Reptile,Broadhead Skink,Not Threatened,True,0,15,Skink
Achnatherum nelsonii ssp. dorei,Yosemite National Park,151,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",Not Threatened,True,0,40,Needlegrass
Verbascum virgatum,Yosemite National Park,148,Vascular Plant,Wand Mullein,Not Threatened,True,0,12,Mullein
Carex baileyi,Yosemite National Park,156,Vascular Plant,"Bailey Sedge, Bailey's Sedge",Not Threatened,True,0,28,Sedge
Uropappus lindleyi,Great Smoky Mountains National Park,52,Vascular Plant,Lindley's Silverpuffs,Not Threatened,True,0,21,Silverpuffs
Stellaria borealis ssp. sitchana,Yosemite National Park,160,Vascular Plant,Sitka Starwort,Not Threatened,True,0,14,Starwort
Ranunculus hispidus var. nitidus,Yellowstone National Park,265,Vascular Plant,"Carolina Buttercup, Northern Swamp Buttercup",Not Threatened,True,0,44,Buttercup
Rhinichthys obtusus,Yellowstone National Park,265,Fish,Western Blacknose Dace,Not Threatened,True,0,22,Dace
Lespedeza frutescens,Great Smoky Mountains National Park,100,Vascular Plant,Shrubby Lespedeza,Not Threatened,True,0,17,Lespedeza
Utricularia intermedia,Yosemite National Park,156,Vascular Plant,Flatleaf Bladderwort,Not Threatened,True,0,20,Bladderwort
Vermivora pinus,Yosemite National Park,142,Bird,Blue-Winged Warbler,Not Threatened,True,0,19,Warbler
Silene latifolia,Yosemite National Park,125,Vascular Plant,"Bladder Campion, Bladder-Campion",Not Threatened,True,0,32,Bladder-Campion
Saxifraga michauxii,Great Smoky Mountains National Park,58,Vascular Plant,"Michaux Saxifrage, Michaux's Saxifrage",Not Threatened,True,0,38,Saxifrage
Crotalus viridis viridis,Yellowstone National Park,240,Reptile,Prairie Rattlesnake,Not Threatened,True,0,19,Rattlesnake
Sanguinaria canadensis,Bryce National Park,68,Vascular Plant,Bloodroot,Not Threatened,True,0,9,Bloodroot
Blarina brevicauda,Yosemite National Park,185,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Not Threatened,True,0,56,Shrew
Streptopelia decaocto,Yosemite National Park,183,Bird,Eurasian Collared-Dove,Not Threatened,True,0,22,Collared-Dove
Scirpus cyperinus,Bryce National Park,96,Vascular Plant,"Bulrush, Cottongrass Bulrush",Not Threatened,True,0,28,Bulrush
Plantago rugelii,Bryce National Park,108,Vascular Plant,"Black-Seed Plantain, White Man's Footprint",Not Threatened,True,0,42,Footprint
Histrionicus histrionicus,Great Smoky Mountains National Park,66,Bird,Harlequin Duck,Not Threatened,True,0,14,Duck
Lupinus andersonii,Bryce National Park,111,Vascular Plant,Anderson's Lupine,Not Threatened,True,0,17,Lupine
Juncus dichotomus,Yellowstone National Park,266,Vascular Plant,Rush,Not Threatened,True,0,4,Rush
Calamagrostis rubescens,Yosemite National Park,126,Vascular Plant,Pinegrass,Not Threatened,True,0,9,Pinegrass
Sarracenia purpurea,Bryce National Park,43,Vascular Plant,Purple Pitcherplant,Not Threatened,True,0,19,Pitcherplant
Triteleia dudleyi,Great Smoky Mountains National Park,37,Vascular Plant,Dudley's Triteleia,Not Threatened,True,0,18,Triteleia
Linanthus bicolor,Great Smoky Mountains National Park,37,Vascular Plant,True Babystars,Not Threatened,True,0,14,Babystars
Carex louisianica,Great Smoky Mountains National Park,37,Vascular Plant,Louisiana Sedge,Not Threatened,True,0,15,Sedge
Poa cuspidata,Bryce National Park,79,Vascular Plant,"Bluegrass, Woodland Bluegrass",Not Threatened,True,0,29,Bluegrass
Potentilla glandulosa ssp. nevadensis,Yellowstone National Park,239,Vascular Plant,Nevada Cinquefoil,Not Threatened,True,0,17,Cinquefoil
Carex flava,Bryce National Park,92,Vascular Plant,Yellow Sedge,Not Threatened,True,0,12,Sedge
Spinus psaltria,Bryce National Park,97,Bird,Lesser Goldfinch,Not Threatened,True,0,16,Goldfinch
Elsholtzia ciliata,Great Smoky Mountains National Park,53,Vascular Plant,Crested Latesummer Mint,Not Threatened,True,0,23,Mint
Galium pilosum var. pilosum,Yosemite National Park,164,Vascular Plant,Hairy Bedstraw,Not Threatened,True,0,14,Bedstraw
Glechoma hederacea,Great Smoky Mountains National Park,107,Vascular Plant,"Gill-Over-The-Ground, Ground Ivy",Not Threatened,True,0,32,Ivy
Carex laeviculmis,Yellowstone National Park,238,Vascular Plant,Smoothstem Sedge,Not Threatened,True,0,16,Sedge
Lotus argophyllus var. fremontii,Yosemite National Park,149,Vascular Plant,Fremont's Birdsfoot Trefoil,Not Threatened,True,0,27,Trefoil
Populus X acuminata,Great Smoky Mountains National Park,54,Vascular Plant,Lanceleaf Cottonwood,Not Threatened,True,0,20,Cottonwood
Rosa bridgesii,Great Smoky Mountains National Park,53,Vascular Plant,Pygmy Rose,Not Threatened,True,0,10,Rose
Carex cherokeensis,Great Smoky Mountains National Park,39,Vascular Plant,Cherokee Sedge,Not Threatened,True,0,14,Sedge
Rumex acetosella,Yellowstone National Park,260,Vascular Plant,"Sheep Sorrel, Sheep Sorrell",Not Threatened,True,0,27,Sorrell
Spiranthes ochroleuca,Great Smoky Mountains National Park,92,Vascular Plant,"Yellow Nodding Ladies'-Tresses, Yellow Nodding Lady's Tresses",Not Threatened,True,0,61,Tresses
Viola pinetorum ssp. pinetorum,Great Smoky Mountains National Park,58,Vascular Plant,Goosefoot Yellow Violet,Not Threatened,True,0,23,Violet
Hulsea brevifolia,Yellowstone National Park,241,Vascular Plant,Shortleaf Alpinegold,Not Threatened,True,0,20,Alpinegold
Medicago sativa,Great Smoky Mountains National Park,87,Vascular Plant,Alfalfa,Not Threatened,True,0,7,Alfalfa
Cirsium occidentale var. californicum,Yosemite National Park,126,Vascular Plant,Cobwebby Thistle,Not Threatened,True,0,16,Thistle
Hordeum brachyantherum ssp. brachyantherum,Yosemite National Park,154,Vascular Plant,Meadow Barley,Not Threatened,True,0,13,Barley
Lepidium densiflorum var. macrocarpum,Yosemite National Park,155,Vascular Plant,Bigseed Pepperweed,Not Threatened,True,0,18,Pepperweed
Lonicera caerulea,Yellowstone National Park,260,Vascular Plant,"Blue Honeysuckle, Fly Honeysuckle, Sweetberry Honeysuckle",Not Threatened,True,0,57,Honeysuckle
Aster foliaceus var. parryi,Yosemite National Park,174,Vascular Plant,Parry's Aster,Not Threatened,True,0,13,Aster
Tyrannus tyrannus,Yellowstone National Park,250,Bird,Eastern Kingbird,Not Threatened,True,0,16,Kingbird
Philonotis fontana,Yosemite National Park,173,Nonvascular Plant,Philonotis Moss,Not Threatened,True,0,15,Moss
Marah watsonii,Bryce National Park,135,Vascular Plant,Taw Manroot,Not Threatened,True,0,11,Manroot
Calamospiza melanocorys,Great Smoky Mountains National Park,44,Bird,Lark Bunting,Not Threatened,True,0,12,Bunting
Juncus covillei var. obtusatus,Yellowstone National Park,271,Vascular Plant,Coville's Rush,Not Threatened,True,0,14,Rush
Sparganium androcladum,Yosemite National Park,121,Vascular Plant,"Branching Bur-Reed, Bur-Reed",Not Threatened,True,0,28,Bur-Reed
Plantago lanceolata,Bryce National Park,137,Vascular Plant,"English Plantain, Ribgrass",Not Threatened,True,0,26,Ribgrass
Potamogeton filiformis,Great Smoky Mountains National Park,100,Vascular Plant,"Filiform Pondweed, Fineleaf Pondweed, Threadleaf Pondweed",Not Threatened,True,0,57,Pondweed
Eupatorium purpureum,Yosemite National Park,155,Vascular Plant,"Sweet Joe-Pye Weed, Sweet Or Woodland Joe-Pye-Weed",Not Threatened,True,0,50,Joe-Pye-Weed
Chrysemys picta picta,Bryce National Park,75,Reptile,Eastern Painted Turtle,Not Threatened,True,0,22,Turtle
Agrostis hyemalis,Yellowstone National Park,255,Vascular Plant,"Hairgrass, Winter Bentgrass",Not Threatened,True,0,27,Bentgrass
Erigeron simplex,Yosemite National Park,163,Vascular Plant,"Oneflower Fleabane, Onestem Daisy, Onestem Fleabane, One-Stem Fleabane",Not Threatened,True,0,70,Fleabane
Ligusticum filicinum,Great Smoky Mountains National Park,54,Vascular Plant,"Fernleaf Licoriceroot, Fernleaf Licorice-Root",Not Threatened,True,0,45,Licorice-Root
Thryomanes bewickii,Great Smoky Mountains National Park,86,Bird,Bewick's Wren,Not Threatened,True,0,13,Wren
Festuca baffinensis,Bryce National Park,124,Vascular Plant,Baffin Fescue,Not Threatened,True,0,13,Fescue
Oligoneuron rigidum var. rigidum,Great Smoky Mountains National Park,62,Vascular Plant,Stiff Goldenrod,Not Threatened,True,0,15,Goldenrod
Alisma subcordatum,Great Smoky Mountains National Park,69,Vascular Plant,Water-Plantain,Not Threatened,True,0,14,Water-Plantain
Aimophila aestivalis,Great Smoky Mountains National Park,49,Bird,Bachman's Sparrow,Species of Concern,False,2,17,Sparrow
Asclepias quadrifolia,Bryce National Park,81,Vascular Plant,"Four-Leaved Milkweed, Whorled Milkweed",Not Threatened,True,0,38,Milkweed
Xanthocephalus xanthocephalus,Great Smoky Mountains National Park,83,Bird,Yellow-Headed Blackbird,Not Threatened,True,0,23,Blackbird
Pinus flexilis,Yellowstone National Park,246,Vascular Plant,"Limber Pine, Rocky Mountain White Pine",Not Threatened,True,0,38,Pine
Gamochaeta falcata,Yosemite National Park,169,Vascular Plant,Narrowleaf Purple Everlasting,Not Threatened,True,0,29,Everlasting
Najas minor,Yosemite National Park,146,Vascular Plant,Brittle Waternymph,Not Threatened,True,0,18,Waternymph
Ericameria suffruticosa,Bryce National Park,127,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",Not Threatened,True,0,70,Heath-Goldenrod
Scutellaria elliptica var. hirsuta,Bryce National Park,114,Vascular Plant,Hairy Skullcap,Not Threatened,True,0,14,Skullcap
Astragalus kentrophyta var. danaus,Great Smoky Mountains National Park,65,Vascular Plant,Spiny Milkvetch,Not Threatened,True,0,15,Milkvetch
Mentzelia albicaulis,Yellowstone National Park,244,Vascular Plant,"White Blazingstar, Whitestem Blazingstar, Whitestem Stickleaf, White-Stemmed Evening-Star",Not Threatened,True,0,89,Evening-Star
Brachythecium rutabulum,Great Smoky Mountains National Park,57,Nonvascular Plant,Brachythecium Moss,Not Threatened,True,0,18,Moss
Brachythecium plumosum,Great Smoky Mountains National Park,92,Nonvascular Plant,Brachythecium Moss,Not Threatened,True,0,18,Moss
Ribes cynosbati,Great Smoky Mountains National Park,59,Vascular Plant,Prickly Gooseberry,Not Threatened,True,0,18,Gooseberry
Carex annectens,Great Smoky Mountains National Park,77,Vascular Plant,"A Sedge, Sedge",Not Threatened,True,0,14,Sedge
Carex plantaginea,Yellowstone National Park,261,Vascular Plant,Plantain-Leaved Sedge,Not Threatened,True,0,21,Sedge
Aphelocoma californica,Great Smoky Mountains National Park,61,Bird,Western Scrub-Jay,Not Threatened,True,0,17,Scrub-Jay
Astragalus purshii var. lectulus,Great Smoky Mountains National Park,44,Vascular Plant,"Sierran Milkvetch, Woollypod Milkvetch",Not Threatened,True,0,38,Milkvetch
Pectocarya pusilla,Great Smoky Mountains National Park,84,Vascular Plant,"Little Combseed, Purple Prairieclover",Not Threatened,True,0,37,Prairieclover
Eucephalus engelmannii,Bryce National Park,111,Vascular Plant,Engelmann's Aster,Not Threatened,True,0,17,Aster
Calochortus albus,Yosemite National Park,163,Vascular Plant,White Fairy-Lantern,Not Threatened,True,0,19,Fairy-Lantern
Chaerophyllum tainturieri var. tainturieri,Great Smoky Mountains National Park,65,Vascular Plant,Wild Chervil,Not Threatened,True,0,12,Chervil
Panicum capillare,Great Smoky Mountains National Park,55,Vascular Plant,"Old Witch Panic-Grass, Panic Grass",Not Threatened,True,0,34,Grass
Hypericum hypericoides ssp. multicaule,Bryce National Park,111,Vascular Plant,"A St. John's-Wort, Low St. Andrew's Cross",Not Threatened,True,0,41,Cross
Typha angustifolia,Great Smoky Mountains National Park,96,Vascular Plant,Narrowleaf Cattail,Not Threatened,True,0,18,Cattail
Myosurus apetalus var. borealis,Yosemite National Park,178,Vascular Plant,Bristly Mousetail,Not Threatened,True,0,17,Mousetail
Carex crinita var. crinita,Bryce National Park,71,Vascular Plant,Drooping Sedge,Not Threatened,True,0,14,Sedge
Viola labradorica,Great Smoky Mountains National Park,71,Vascular Plant,Alpine Violet,Not Threatened,True,0,13,Violet
Stachys clingmanii,Great Smoky Mountains National Park,84,Vascular Plant,"Clingman Hedge-Nettle, Clingman's Hedge-Nettle",Not Threatened,True,0,46,Hedge-Nettle
Oncorhynchus mykiss,Great Smoky Mountains National Park,39,Fish,Rainbow Trout,Not Threatened,True,0,13,Trout
Lotus corniculatus,Great Smoky Mountains National Park,70,Vascular Plant,"Birdsfoot Trefoil, Lotus",Not Threatened,True,0,24,Lotus
Sedum acre,Great Smoky Mountains National Park,74,Vascular Plant,"Gold-Moss, Mossy Stonecrop",Not Threatened,True,0,26,Stonecrop
Dryocopus pileatus,Yosemite National Park,111,Bird,Pileated Woodpecker,Species of Concern,False,2,19,Woodpecker
Atriplex argentea,Yosemite National Park,169,Vascular Plant,"Silverscale, Silverscale Saltbush, Silverscale Saltweed",Not Threatened,True,0,55,Saltweed
Desmognathus santeetlah,Yellowstone National Park,254,Amphibian,"Santeetlah Dusky Salamander, Santleetlah Dusky Salamander, Yellow Dusky Salamander",Not Threatened,True,0,82,Salamander
Trillium vaseyi,Great Smoky Mountains National Park,77,Vascular Plant,Vasey's Trillium,Not Threatened,True,0,16,Trillium
Amorpha glabra,Yellowstone National Park,265,Vascular Plant,"Smooth False Indigo, Smooth Indigobush",Not Threatened,True,0,38,Indigobush
Eupatorium purpureum,Great Smoky Mountains National Park,65,Vascular Plant,"Sweet Joe-Pye Weed, Sweet Or Woodland Joe-Pye-Weed",Not Threatened,True,0,50,Joe-Pye-Weed
Necturus maculosus maculosus,Bryce National Park,89,Amphibian,Mudpuppy,Not Threatened,True,0,8,Mudpuppy
Rhodobryum ontariense,Yellowstone National Park,246,Nonvascular Plant,Ontario Rhodobryum Moss,Not Threatened,True,0,23,Moss
Menispermum canadense,Great Smoky Mountains National Park,93,Vascular Plant,"Canada Moonseed, Moonseed",Not Threatened,True,0,25,Moonseed
Agalinis setacea,Yosemite National Park,190,Vascular Plant,"Narrow-Leaved Gerardia, Thread-Leaved Gerardia",Not Threatened,True,0,46,Gerardia
Coluber constrictor,Bryce National Park,71,Reptile,Racer,Not Threatened,True,0,5,Racer
Lomatium dissectum var. multifidum,Bryce National Park,107,Vascular Plant,Carrotleaf Biscuitroot,Not Threatened,True,0,22,Biscuitroot
Thamnobryum alleghaniense,Yellowstone National Park,224,Nonvascular Plant,Allegany Thamnobryum Moss,Not Threatened,True,0,25,Moss
Tonestus lyallii,Great Smoky Mountains National Park,90,Vascular Plant,"Alpine Goldenweed, Lyall's Goldenweed",Not Threatened,True,0,37,Goldenweed
Schoenoplectus americanus,Bryce National Park,128,Vascular Plant,"American Bulrush, Chairmaker's Bulrush, Olney Bulrush, Schoenoplectus",Not Threatened,True,0,69,Schoenoplectus
Tridens flavus,Great Smoky Mountains National Park,39,Vascular Plant,"Purpletop Tridens, Tall Purple-Top Fluffgrass",Not Threatened,True,0,45,Fluffgrass
Aquilegia formosa,Yosemite National Park,135,Vascular Plant,"Crimson Columbine, Western Columbine",Not Threatened,True,0,36,Columbine
Antennaria corymbosa,Yosemite National Park,142,Vascular Plant,"Flattop Pussytoes, Flat-Top Pussytoes, Meadow Everlasting",Not Threatened,True,0,57,Everlasting
Xema sabini,Yellowstone National Park,287,Bird,Sabine's Gull,Not Threatened,True,0,13,Gull
Amaranthus californicus,Great Smoky Mountains National Park,103,Vascular Plant,"California Amaranth, California Pigweed",Not Threatened,True,0,39,Pigweed
Apometzgeria pubescens,Yosemite National Park,173,Nonvascular Plant,Apometzgeria,Not Threatened,True,0,12,Apometzgeria
Eumeces fasciatus,Yosemite National Park,117,Reptile,Five-Lined Skink,Not Threatened,True,0,16,Skink
Microtus chrotorrhinus,Yellowstone National Park,258,Mammal,"Rock Vole, Southern Rock Vole",Not Threatened,True,0,29,Vole
Monardella odoratissima ssp. pallida,Great Smoky Mountains National Park,64,Vascular Plant,"Alpine Mountainbalm, Mountain Monardella",Not Threatened,True,0,40,Monardella
Ribes montigenum,Yosemite National Park,191,Vascular Plant,"Alpine Prickly Currant, Gooseberry Currant, Mountain Gooseberry",Not Threatened,True,0,63,Gooseberry
Trillium simile,Yosemite National Park,157,Vascular Plant,Sweet White Trillium,Not Threatened,True,0,20,Trillium
Anaxyrus canorus,Bryce National Park,43,Amphibian,Yosemite Toad,Threatened,False,3,13,Toad
Danthonia spicata,Great Smoky Mountains National Park,103,Vascular Plant,"Poverty Grass, Poverty Oat-Grass",Not Threatened,True,0,32,Oat-Grass
Rudbeckia fulgida,Great Smoky Mountains National Park,79,Vascular Plant,Orange Coneflower,Not Threatened,True,0,17,Coneflower
Pavo cristatus,Yellowstone National Park,248,Bird,Peacock,Not Threatened,True,0,7,Peacock
Carya carolinae-septentrionalis,Yosemite National Park,135,Vascular Plant,Carolina Shagbark Hickory,Not Threatened,True,0,25,Hickory
Crotalus horridus,Yosemite National Park,153,Reptile,Timber Rattlesnake,Not Threatened,True,0,18,Rattlesnake
Sceloporus undulatus hyacinthinus,Yellowstone National Park,259,Reptile,Northern Fence Lizard,Not Threatened,True,0,21,Lizard
Eleocharis acicularis,Bryce National Park,97,Vascular Plant,Needle Sedge,Not Threatened,True,0,12,Sedge
Euonymus obovata,Yellowstone National Park,255,Vascular Plant,Running Strawberry Bush,Not Threatened,True,0,23,Bush
Vulpia myuros,Great Smoky Mountains National Park,52,Vascular Plant,Rattail Fescue,Not Threatened,True,0,14,Fescue
Veratrum californicum var. californicum,Yosemite National Park,139,Vascular Plant,"California False Hellebore, California Falsehellebore",Not Threatened,True,0,53,Falsehellebore
